department,year,ubigeo,iddpto,population,cases_men5,cases_60mas,hosp_men5,hosp_60mas,death_men5,death_60mas,cases_rate_men5,cases_rate_60mas,hosp_rate_men5,hosp_rate_60mas,death_rate_men5,death_rate_60mas,inc_rate_men5,inc_rate_60mas
CAJAMARCA,2001,60000,6,1332951,4242,0,543,0,27,0,318.2412556800663,0.0,40.736681243346524,0.0,2.0255808353045235,0.0,318.24,0.0
CAJAMARCA,2002,60000,6,1342094,4354,0,862,0,41,0,324.418408844686,0.0,64.22798999175915,0.0,3.054927598215922,0.0,324.42,0.0
CAJAMARCA,2003,60000,6,1351237,4094,0,1039,0,52,0,302.9816383062335,0.0,76.8925066439122,0.0,3.8483256453161068,0.0,302.98,0.0
CAJAMARCA,2004,60000,6,1360380,2995,0,1010,0,88,0,220.15907320013525,0.0,74.24396124612241,0.0,6.468780781840368,0.0,220.16,0.0
CAJAMARCA,2005,60000,6,1369523,2716,0,862,0,69,0,198.31722431824804,0.0,62.941622740180335,0.0,5.038250544167568,0.0,198.32,0.0
CAJAMARCA,2006,60000,6,1378666,2634,56,857,27,49,0,191.05425099335153,4.061897515424331,62.161538762833054,1.9584148735081595,3.554160325996289,0.0,191.05,4.06
CAJAMARCA,2007,60000,6,1387809,2428,72,764,25,35,2,174.95202870135589,5.188033800040207,55.05080310042664,1.8014006250139607,2.5219608750195452,0.14411205000111688,174.95,5.19
CAJAMARCA,2008,60000,6,1391781,2534,111,714,94,27,0,182.06887434158105,7.975392680313929,51.30117453823554,6.753936143689273,1.9399603816979827,0.0,182.07,7.98
CAJAMARCA,2009,60000,6,1395753,2315,105,632,52,23,0,165.86029189978456,7.522821014893037,45.280217918213324,3.7255875502327416,1.6478560318337125,0.0,165.86,7.52
CAJAMARCA,2010,60000,6,1399724,1647,96,461,27,11,3,117.66605416496395,6.858494960435058,32.935064341255845,1.92895170762236,0.7858692142165169,0.21432796751359556,117.67,6.86
CAJAMARCA,2011,60000,6,1403696,1652,65,423,33,5,1,117.689300247347,4.630632273654695,30.134730027014395,2.3509363850862295,0.35620248258882264,0.07124049651776453,117.69,4.63
CAJAMARCA,2012,60000,6,1407668,1196,126,320,57,14,6,84.96321575826119,8.950974235402098,22.73263297879898,4.049250249348568,0.9945526928224553,0.4262368683524808,84.96,8.95
CAJAMARCA,2013,60000,6,1411640,1248,177,401,69,15,2,88.40780935649316,12.538607577002635,28.406675923039867,4.887931767306112,1.0625938624578504,0.14167918166104673,88.41,12.54
CAJAMARCA,2014,60000,6,1415612,950,183,280,87,4,2,67.10878404534576,12.927271031892921,19.779431087049275,6.145751802047454,0.2825633012435611,0.14128165062178055,67.11,12.93
CAJAMARCA,2015,60000,6,1419583,812,118,244,30,4,3,57.19989602580477,8.312300161385421,17.18814609642409,2.113296651199683,0.28177288682662444,0.21132966511996834,57.2,8.31
CAJAMARCA,2016,60000,6,1423555,670,312,260,74,5,4,47.065269694532354,21.916961409991185,18.264134508325988,5.198253667754319,0.3512333559293459,0.2809866847434767,47.07,21.92
CAJAMARCA,2017,60000,6,1427527,643,530,260,118,6,12,45.042930886771316,37.12714365472597,18.21331575514859,8.266043304259744,0.4203072866572751,0.8406145733145503,45.04,37.13
CAJAMARCA,2018,60000,6,1438325,662,664,292,165,6,15,46.02575912954305,46.164809761354356,20.301392244451012,11.471677124432933,0.4171518954339249,1.042879738584812,46.03,46.16
CAJAMARCA,2019,60000,6,1447891,809,371,361,226,3,14,55.874371758647584,25.62347580031922,24.932816075243235,15.60890978671737,0.20719791752279693,0.9669236151063858,55.87,25.62
CAJAMARCA,2020,60000,6,1453711,237,354,113,235,1,17,16.303102886337108,24.35147013402251,7.773209393063683,16.165523959026245,0.06878946365543083,1.169420882142324,16.3,24.35
CAJAMARCA,2021,60000,6,1455245,246,435,127,261,1,7,16.9043700545269,29.891873876907326,8.727052833028116,17.935124326144397,0.06871695144116627,0.48101866008816385,16.9,29.89
CAJAMARCA,2022,60000,6,1454217,875,832,432,206,1,5,60.16983710134045,57.212919392360284,29.70670814603323,14.165698791858436,0.06876552811581765,0.34382764057908827,60.17,57.21
CAJAMARCA,2023,60000,6,1451436,1161,678,496,335,3,5,79.9897480839665,46.71235934619232,34.173053445002054,23.08059053241066,0.2066918555141253,0.34448642585687556,79.99,46.71
CALLAO,2000,70000,7,758303,821,0,229,0,1,0,108.26806698641572,0.0,30.199010158208527,0.0,0.13187340680440404,0.0,108.27,0.0
CALLAO,2001,70000,7,775242,1045,0,397,0,2,0,134.79661834627123,0.0,51.20981577365519,0.0,0.25798395855745687,0.0,134.8,0.0
CALLAO,2002,70000,7,792181,1149,0,457,0,3,0,145.04261021155517,0.0,57.68883626342969,0.0,0.3787013321450527,0.0,145.04,0.0
CALLAO,2003,70000,7,809120,1475,0,445,0,1,0,182.29681629424562,0.0,54.9980225430097,0.0,0.1235910618944038,0.0,182.3,0.0
CALLAO,2004,70000,7,826060,1296,0,454,0,6,0,156.88933007287608,0.0,54.959688158245164,0.0,0.7263394910781299,0.0,156.89,0.0
CALLAO,2005,70000,7,842999,1056,0,258,0,1,0,125.26705251133157,0.0,30.605018511291235,0.0,0.11862410275694277,0.0,125.27,0.0
CALLAO,2006,70000,7,859938,1268,101,261,7,4,1,147.45249076096184,11.74503278143308,30.351025306475584,0.8140121729706095,0.4651498131260626,0.11628745328151564,147.45,11.75
CALLAO,2007,70000,7,876877,1308,9,186,6,2,1,149.165732480154,1.0263697189001422,21.211640857269607,0.6842464792667615,0.22808215975558715,0.11404107987779358,149.17,1.03
CALLAO,2008,70000,7,893885,1518,395,157,6,0,3,169.82050263736386,44.18912947414936,17.563780575801136,0.6712272831516358,0.0,0.3356136415758179,169.82,44.19
CALLAO,2009,70000,7,910892,1333,598,106,6,0,4,146.34007105123328,65.64993435006565,11.636944884794245,0.6586949934789196,0.0,0.439129995652613,146.34,65.65
CALLAO,2010,70000,7,927900,1383,1123,114,16,3,0,149.04623343032657,121.02597262636061,12.285806660200453,1.7243237417825197,0.3233107015842224,0.0,149.05,121.03
CALLAO,2011,70000,7,944907,1386,620,106,28,3,3,146.6811019497157,65.61492295008927,11.21803521404752,2.9632545848427414,0.3174915626617223,0.3174915626617223,146.68,65.61
